LAPORAN REALISASI SP2D TA 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Per Program; Kegiatan; Output; SubOutput; Komponen; SubKomponen; Akun; Item;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode Februari 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Kementerian	:";;;;;;;;;;;;;;054;BADAN PUSAT STATISTIK;;;;;;;;;;;;;;;;;;;
"Unit Organisasi	";;;;;;;;;;;;;;01;BADAN PUSAT STATISTIK;;;;;;;;;;;;;;;;;;;
"Satuan Kerja   	:";;;;;;;;;;;;;;018839;BADAN PUSAT STATISTIK KAB. MAJALENGKA;;;;;;;;;;;;;Hal 1 dari;;; 44;;;
Uraian;;;;;;;;;;;;;;;;;Pagu Revisi;;Lock Pagu;;Realisasi TA 2026;;;;;;;;;SISA ANGGARAN;;;;
;;;;;;;;;;;;;;;;;;;;;Periode Lalu;;Periode Ini;s.d. Periode ;;;%;;;;;;;
;;;;;;;;;;;;;000010. transport lokal petugas pemeriksaan lapangan Dokumen Survei institusi LNP;;;340.000;;0;;;;0;0;;0;;;0,00 %;;340.000;;;;
;;;;;;;;;;;;;000011. transport lokal petugas pemeriksaan lapangan sksppi di kab/kota;;;510.000;;0;;;;0;0;;0;;;0,00 %;;510.000;;;;
;;;;051;;;;;PERSIAPAN;;;;;;;4.804.000;;0;;;;0;0;;0;;;0,00 %;;4.804.000;;;;
;;;;;051.0A;;;;;;TANPA SUB KOMPONEN;;;;;4.804.000;;0;;;;0;0;;0;;;0,00 %;;4.804.000;;;;
;;;;;;;521211;;;;;Belanja Bahan;;;;1.470.000;;0;;;;0;0;;0;;;0,00 %;;1.470.000;;;;
;;;;;;;;;;;;;000012. konsumsi fullday di kantor pelatihan petugas pencacahan SKLNPT dan SKPS;;;1.470.000;;0;;;;0;0;;0;;;0,00 %;;1.470.000;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;999.000;;0;;;;0;0;;0;;;0,00 %;;999.000;;;;
;;;;;;;;;;;;;000013. honor pengajar petugas fullday di kantor pelatihan petugas pencacahan SKLNPT dan SKPS;;;999.000;;0;;;;0;0;;0;;;0,00 %;;999.000;;;;
;;;;;;;521811;;;;;Belanja Barang Persediaan Barang Konsumsi;;;;125.000;;0;;;;0;0;;0;;;0,00 %;;125.000;;;;
;;;;;;;;;;;;;000014. pengadaan atk, kertas, dan bahan cetak;;;125.000;;0;;;;0;0;;0;;;0,00 %;;125.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;2.210.000;;0;;;;0;0;;0;;;0,00 %;;2.210.000;;;;
;;;;;;;;;;;;;000015. transport lokal fullday di kantor pelatihan petugas pencacahan SKLNPT dan SKPS;;;2.210.000;;0;;;;0;0;;0;;;0,00 %;;2.210.000;;;;
;;;;052;;;;;PENGUMPULAN DATA;;;;;;;4.310.000;;0;;;;0;0;;0;;;0,00 %;;4.310.000;;;;
;;;;;052.0A;;;;;;TANPA SUB KOMPONEN;;;;;4.310.000;;0;;;;0;0;;0;;;0,00 %;;4.310.000;;;;
;;;;;;;521211;;;;;Belanja Bahan;;;;1.250.000;;0;;;;0;0;;0;;;0,00 %;;1.250.000;;;;
;;;;;;;;;;;;;000016. paket data petugas pencacahan sksppi di kab/kota;;;850.000;;0;;;;0;0;;0;;;0,00 %;;850.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;000017. paket data petugas pendataan SKLNP Triwulanan di kab/kota;;;400.000;;0;;;;0;0;;0;;;0,00 %;;400.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;3.060.000;;0;;;;0;0;;0;;;0,00 %;;3.060.000;;;;
;;;;;;;;;;;;;000018. Perjalanan pengawasan pencacahan sksppi dari kab/kota ke kecamatan;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000019. Perjalanan pengawasan pencacahan survei penyusunan disagregasi pmtb dari kab/kota ke kecamatan;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000020. transport lokal;;;2.720.000;;0;;;;0;0;;0;;;0,00 %;;2.720.000;;;;
;GG.2899;;;;;;;Penyediaan dan Pengembangan Statistik Neraca Produksi;;;;;;;;19.227.000;;4.384.000;;;;500.000;594.000;;1.094.000;;;5,69 %;;13.749.000;;;;
;;BMA;;;;Data dan Informasi Publik;;;;;;;;;;19.227.000;;4.384.000;;;;500.000;594.000;;1.094.000;;;5,69 %;;13.749.000;;;;
;;BMA.006;;;;;;;;PUBLIKASI/LAPORAN NERACA PRODUKSI;;;;;;19.227.000;;4.384.000;;;;500.000;594.000;;1.094.000;;;5,69 %;;13.749.000;;;;
;;;;005;;;;;Dukungan Penyelenggaraan Tugas dan Fungsi Unit;;;;;;;10.610.000;;0;;;;500.000;594.000;;1.094.000;;;10,31 %;;9.516.000;;;;
;;;;;005.0A;;;;;;TANPA SUB KOMPONEN;;;;;10.610.000;;0;;;;500.000;594.000;;1.094.000;;;10,31 %;;9.516.000;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;7.040.000;;0;;;;0;594.000;;594.000;;;8,44 %;;6.446.000;;;;
;;;;;;;;;;;;;000021. Honor petugas lapangan SKTNP Jasa 2026;;;2.640.000;;0;;;;0;264.000;;264.000;;;10,00 %;;2.376.000;;;;
;;;;;;;;;;;;;000022. honor petugas pendataan lapangan survei khusus neraca produksi (SKNP);;;1.980.000;;0;;;;0;0;;0;;;0,00 %;;1.980.000;;;;
;;;;;;;;;;;;;000023. honor petugas pengolahan dokumen SKNP;;;420.000;;0;;;;0;0;;0;;;0,00 %;;420.000;;;;
;;;;;;;;;;;;;000024. Honor petugas pendataan survei SKTNP Barang;;;1.188.000;;0;;;;0;330.000;;330.000;;;27,78 %;;858.000;;;;
;;;;;;;;;;;;;000025. Honor petugas pengolahan survei SKTNP Jasa;;;560.000;;0;;;;0;0;;0;;;0,00 %;;560.000;;;;
;;;;;;;;;;;;;000026. Honor petugas pengolahan survei SKTNP Barang;;;252.000;;0;;;;0;0;;0;;;0,00 %;;252.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;3.570.000;;0;;;;500.000;0;;500.000;;;14,01 %;;3.070.000;;;;
