LAPORAN REALISASI SP2D TA 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Per Program; Kegiatan; Output; SubOutput; Komponen; SubKomponen; Akun; Item;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode Februari 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Kementerian	:";;;;;;;;;;;;;;054;BADAN PUSAT STATISTIK;;;;;;;;;;;;;;;;;;;
"Unit Organisasi	";;;;;;;;;;;;;;01;BADAN PUSAT STATISTIK;;;;;;;;;;;;;;;;;;;
"Satuan Kerja   	:";;;;;;;;;;;;;;018839;BADAN PUSAT STATISTIK KAB. MAJALENGKA;;;;;;;;;;;;;Hal 1 dari;;; 44;;;
Uraian;;;;;;;;;;;;;;;;;Pagu Revisi;;Lock Pagu;;Realisasi TA 2026;;;;;;;;;SISA ANGGARAN;;;;
;;;;;;;;;;;;;;;;;;;;;Periode Lalu;;Periode Ini;s.d. Periode ;;;%;;;;;;;
;;;;;;;;;;;;;000050. Honor pengolahan peta (Wilkerstat);;;50.388.000;;0;;;;0;0;;0;;;0,00 %;;50.388.000;;;;
;;;;;;;;;;;;;000051. Honor petugas pemeriksaan sensus (koseka organik);;;23.813.000;;23.813.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;;;;;;;000052. Honor petugas pemeriksaan sensus (koseka);;;90.469.000;;90.469.000;;;;0;0;;0;;;0,00 %;;0;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;000053. Honor petugas pemeriksaan sensus (pms);;;897.317.000;;897.317.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;;;;;;;000624. Honor petugas pendataan sensus;;;1.822.428.000;;1.822.428.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;524111;;;;;Belanja Perjalanan Dinas Biasa;;;;6.000.000;;1.419.000;;;;0;4.580.894;;4.580.894;;;76,35 %;;106;;;;
;;;;;;;;;;;;;000648. Perjalanan dinas biasa ke luar kota/kab;;;6.000.000;;1.419.000;;;;0;4.580.894;;4.580.894;;;76,35 %;;106;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;118.938.000;;0;;;;0;0;;0;;;0,00 %;;118.938.000;;;;
;;;;;;;;;;;;;000055. Task force pendataan lengkap dan CAWI BPS Kab/Kota;;;118.938.000;;0;;;;0;0;;0;;;0,00 %;;118.938.000;;;;
;;;;523;;;;;Publisitas SE2026;;;;;;;10.784.000;;0;;;;0;0;;0;;;0,00 %;;10.784.000;;;;
;;;;;523.0A;;;;;;TANPA SUB KOMPONEN;;;;;10.784.000;;0;;;;0;0;;0;;;0,00 %;;10.784.000;;;;
;;;;;;;522191;;;;;Belanja Jasa Lainnya;;;;10.784.000;;0;;;;0;0;;0;;;0,00 %;;10.784.000;;;;
;;;;;;;;;;;;;000056. Penayangan ILM di media cetak, online, sosial, elektronik kab/kota;;;5.392.000;;0;;;;0;0;;0;;;0,00 %;;5.392.000;;;;
;;;;;;;;;;;;;000057. Penyelenggaraan Pencanangan SE2026 oleh Kepala Daerah (Kabkota);;;5.392.000;;0;;;;0;0;;0;;;0,00 %;;5.392.000;;;;
;;;;524;;;;;Penetapan Kerangka Geospasial dan Muatan Wilkerstat;;;;;;;11.825.000;;0;;;;0;0;;0;;;0,00 %;;11.825.000;;;;
;;;;;524.0A;;;;;;TANPA SUB KOMPONEN;;;;;11.825.000;;0;;;;0;0;;0;;;0,00 %;;11.825.000;;;;
;;;;;;;521211;;;;;Belanja Bahan;;;;5.320.000;;0;;;;0;0;;0;;;0,00 %;;5.320.000;;;;
;;;;;;;;;;;;;000058. konsumsi pelatihan petugas pengolahan peta (2 snack 1 makan);;;3.014.000;;0;;;;0;0;;0;;;0,00 %;;3.014.000;;;;
;;;;;;;;;;;;;000059. Perlengkapan pelatihan petugas pengolahan peta;;;2.306.000;;0;;;;0;0;;0;;;0,00 %;;2.306.000;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;1.952.000;;0;;;;0;0;;0;;;0,00 %;;1.952.000;;;;
;;;;;;;;;;;;;000060. Honor pengajar pelatihan petugas pengolahan peta;;;1.952.000;;0;;;;0;0;;0;;;0,00 %;;1.952.000;;;;
;;;;;;;521219;;;;;Belanja Barang Non Operasional Lainnya;;;;210.000;;0;;;;0;0;;0;;;0,00 %;;210.000;;;;
;;;;;;;;;;;;;000061. Asuransi petugas;;;210.000;;0;;;;0;0;;0;;;0,00 %;;210.000;;;;
;;;;;;;521811;;;;;Belanja Barang Persediaan Barang Konsumsi;;;;696.000;;0;;;;0;0;;0;;;0,00 %;;696.000;;;;
;;;;;;;;;;;;;000062. pengadaan atk kab/kota;;;348.000;;0;;;;0;0;;0;;;0,00 %;;348.000;;;;
;;;;;;;;;;;;;000063. pengadaan computer supplies kab/kota;;;348.000;;0;;;;0;0;;0;;;0,00 %;;348.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;3.647.000;;0;;;;0;0;;0;;;0,00 %;;3.647.000;;;;
;;;;;;;;;;;;;000064. Perjalanan Pengecekan Perubahan Satuan ;;;1.110.000;;0;;;;0;0;;0;;;0,00 %;;1.110.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Lingkungan Setempat SE2026 Kabupaten ke Kecamatan;;;1.110.000;;0;;;;0;0;;;;;;;1.110.000;;;;
;;;;;;;;;;;;;000065. perjalanan petugas pelatihan pengolahan;;;2.537.000;;0;;;;0;0;;0;;;0,00 %;;2.537.000;;;;
;;;;529;;;;;Penerapan Prelist SBR Untuk SE2026;;;;;;;1.778.000;;0;;;;0;0;;0;;;0,00 %;;1.778.000;;;;
;;;;;529.0A;;;;;;TANPA SUB KOMPONEN;;;;;1.778.000;;0;;;;0;0;;0;;;0,00 %;;1.778.000;;;;
;;;;;;;521811;;;;;Belanja Barang Persediaan Barang Konsumsi;;;;696.000;;0;;;;0;0;;0;;;0,00 %;;696.000;;;;
;;;;;;;;;;;;;000066. pengadaan atk kab/kota;;;348.000;;0;;;;0;0;;0;;;0,00 %;;348.000;;;;
;;;;;;;;;;;;;000067. pengadaan komputer supplies kab/kota;;;348.000;;0;;;;0;0;;0;;;0,00 %;;348.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;1.082.000;;0;;;;0;0;;0;;;0,00 %;;1.082.000;;;;
;;;;;;;;;;;;;000068. Perjalanan pengawasan lapangan register usaha kabupaten/kota ke kecamatan;;;606.000;;0;;;;0;0;;0;;;0,00 %;;606.000;;;;
;;;;;;;;;;;;;000069. transport lokal sbr kab/kota;;;476.000;;0;;;;0;0;;0;;;0,00 %;;476.000;;;;
;;;;530;;;;;Pelaksanaan SE2026;;;;;;;2.060.978.000;;1.574.070.000;;;;0;0;;0;;;0,00 %;;486.908.000;;;;
;;;;;530.0A;;;;;;PELATIHAN PETUGAS SE2026;;;;;490.153.000;;78.092.000;;;;0;0;;0;;;0,00 %;;412.061.000;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;78.092.000;;78.092.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;;;;;;;000070. Honor pengajar pelatihan petugas pendataan;;;78.092.000;;78.092.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;19.026.000;;0;;;;0;0;;0;;;0,00 %;;19.026.000;;;;
;;;;;;;;;;;;;000071. Role playing pelatihan petugas;;;19.026.000;;0;;;;0;0;;0;;;0,00 %;;19.026.000;;;;
;;;;;;;524114;;;;;Belanja Perjalanan Dinas Paket Meeting Dalam Kota;;;;393.035.000;;0;;;;0;0;;0;;;0,00 %;;393.035.000;;;;
;;;;;;;;;;;;;000072. Paket Meeting Fullboard pelatihan petugas pendataan;;;312.155.000;;0;;;;0;0;;0;;;0,00 %;;312.155.000;;;;
;;;;;;;;;;;;;000073. Perjalanan Fullboard pelatihan petugas pendataan;;;80.880.000;;0;;;;0;0;;0;;;0,00 %;;80.880.000;;;;
;;;;;530.0B;;;;;;PENDATAAN LENGKAP;;;;;1.570.825.000;;1.495.978.000;;;;0;0;;0;;;0,00 %;;74.847.000;;;;
;;;;;;;521211;;;;;Belanja Bahan;;;;235.340.000;;235.340.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;;;;;;;000074. Biaya Paket Data Pelaksanaan SE2026;;;71.750.000;;71.750.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;;;;;;;000075. Konsumsi rapat pertemuan tim petugas kab/kota;;;163.590.000;;163.590.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;43.970.000;;0;;;;0;0;;0;;;0,00 %;;43.970.000;;;;
;;;;;;;;;;;;;000076. Honor tim pelaksana kegiatan di Kabupaten/Kota : anggota;;;17.588.000;;0;;;;0;0;;0;;;0,00 %;;17.588.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;000077. Honor tim pelaksana kegiatan di Kabupaten/Kota : ketua;;;4.690.000;;0;;;;0;0;;0;;;0,00 %;;4.690.000;;;;
;;;;;;;;;;;;;000078. Honor tim pelaksana kegiatan di Kabupaten/Kota : penanggung jawab;;;5.276.000;;0;;;;0;0;;0;;;0,00 %;;5.276.000;;;;
;;;;;;;;;;;;;000079. Honor tim pelaksana kegiatan di Kabupaten/Kota : wakil;;;16.416.000;;0;;;;0;0;;0;;;0,00 %;;16.416.000;;;;
;;;;;;;521219;;;;;Belanja Barang Non Operasional Lainnya;;;;18.137.000;;0;;;;0;0;;0;;;0,00 %;;18.137.000;;;;
;;;;;;;;;;;;;000080. Asuransi petugas;;;18.137.000;;0;;;;0;0;;0;;;0,00 %;;18.137.000;;;;
;;;;;;;521811;;;;;Belanja Barang Persediaan Barang Konsumsi;;;;5.676.000;;0;;;;0;0;;0;;;0,00 %;;5.676.000;;;;
;;;;;;;;;;;;;000081. Pengadaan atk, kertas, dan bahan cetak Kab/Kot;;;2.838.000;;0;;;;0;0;;0;;;0,00 %;;2.838.000;;;;
;;;;;;;;;;;;;000082. pengadaan komputer supplies kab/kota;;;2.838.000;;0;;;;0;0;;0;;;0,00 %;;2.838.000;;;;
;;;;;;;522151;;;;;Belanja Jasa Profesi;;;;4.033.000;;0;;;;0;0;;0;;;0,00 %;;4.033.000;;;;
;;;;;;;;;;;;;000083. Honor Moderator (Kab/Kota);;;448.000;;0;;;;0;0;;0;;;0,00 %;;448.000;;;;
;;;;;;;;;;;;;000084. Honor narasumber pejabat eselon ii/disetarakan (Kab/Kota);;;1.280.000;;0;;;;0;0;;0;;;0,00 %;;1.280.000;;;;
;;;;;;;;;;;;;000085. Honor narasumber pejabat eselon iii kebawah/disetarakan (Kab/Kota);;;2.305.000;;0;;;;0;0;;0;;;0,00 %;;2.305.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;1.263.669.000;;1.260.638.000;;;;0;0;;0;;;0,00 %;;3.031.000;;;;
;;;;;;;;;;;;;000086. Perjalanan Pengawasan bps kab/kota ke kecamatan (Transport Kabupaten ke Kecamatan );;;3.031.000;;0;;;;0;0;;0;;;0,00 %;;3.031.000;;;;
;;;;;;;;;;;;;000087. Transport Pertemuan Petugas;;;466.140.000;;466.140.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;;;;;;;000088. Transport penunjuk jalan;;;794.498.000;;794.498.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;535;;;;;Penyusunan Diseminasi SE2026;;;;;;;2.317.000;;0;;;;0;0;;0;;;0,00 %;;2.317.000;;;;
;;;;;535.0A;;;;;;TANPA SUB KOMPONEN;;;;;2.317.000;;0;;;;0;0;;0;;;0,00 %;;2.317.000;;;;
;;;;;;;521811;;;;;Belanja Barang Persediaan Barang Konsumsi;;;;2.317.000;;0;;;;0;0;;0;;;0,00 %;;2.317.000;;;;
;;;;;;;;;;;;;000089. pengadaan perlengkapan promosi produk statistik SE2026 (kab/kot);;;2.317.000;;0;;;;0;0;;0;;;0,00 %;;2.317.000;;;;
;GG.2903;;;;;;;Penyediaan dan Pengembangan Statistik Harga;;;;;;;;488.736.000;;0;;;;0;18.181.000;;18.181.000;;;3,72 %;;470.555.000;;;;
;;BMA;;;;Data dan Informasi Publik;;;;;;;;;;339.286.000;;0;;;;0;8.321.000;;8.321.000;;;2,45 %;;330.965.000;;;;
;;BMA.007;;;;;;;;Publikasi/Laporan Survei Biaya Hidup;;;;;;203.930.000;;0;;;;0;0;;0;;;0,00 %;;203.930.000;;;;
;;;;005;;;;;Dukungan Penyelenggaraan Tugas dan Fungsi Unit;;;;;;;11.365.000;;0;;;;0;0;;0;;;0,00 %;;11.365.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;005.0A;;;;;;TANPA SUB KOMPONEN;;;;;11.365.000;;0;;;;0;0;;0;;;0,00 %;;11.365.000;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;11.110.000;;0;;;;0;0;;0;;;0,00 %;;11.110.000;;;;
;;;;;;;;;;;;;000144. Honor petugas pendataan lapangan Updating Blok Sensus Triwulan I Survei Biaya Hidup;;;7.950.000;;0;;;;0;0;;0;;;0,00 %;;7.950.000;;;;
;;;;;;;;;;;;;000145. Honor petugas pemeriksaan lapangan Updating Blok Sensus Triwulan I Survei Biaya Hidup (Non PNS);;;1.560.000;;0;;;;0;0;;0;;;0,00 %;;1.560.000;;;;
;;;;;;;;;;;;;000146. Honor petugas Pengolahan Updating Blok Sensus Triwulan I Survei Biaya Hidup;;;1.600.000;;0;;;;0;0;;0;;;0,00 %;;1.600.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;255.000;;0;;;;0;0;;0;;;0,00 %;;255.000;;;;
;;;;;;;;;;;;;000147. Transport lokal petugas pemeriksaan lapangan Updating Blok Sensus Triwulan I Survei Biaya Hidup (PNS);;;255.000;;0;;;;0;0;;0;;;0,00 %;;255.000;;;;
;;;;051;;;;;Persiapan;;;;;;;181.487.000;;0;;;;0;0;;0;;;0,00 %;;181.487.000;;;;
;;;;;051.0A;;;;;;TANPA SUB KOMPONEN;;;;;181.487.000;;0;;;;0;0;;0;;;0,00 %;;181.487.000;;;;
;;;;;;;521211;;;;;Belanja Bahan;;;;22.800.000;;0;;;;0;0;;0;;;0,00 %;;22.800.000;;;;
;;;;;;;;;;;;;000148. Pengadaan kalkulator dalam rangka kegiatan lapangan SBH 2027;;;7.500.000;;0;;;;0;0;;0;;;0,00 %;;7.500.000;;;;
;;;;;;;;;;;;;000149. Pengadaan timbangan dalam rangka kegiatan lapangan SBH 2027;;;1.250.000;;0;;;;0;0;;0;;;0,00 %;;1.250.000;;;;
;;;;;;;;;;;;;000150. Pengadaan payung dalam rangka kegiatan lapangan SBH 2027;;;5.625.000;;0;;;;0;0;;0;;;0,00 %;;5.625.000;;;;
;;;;;;;;;;;;;000151. Pengadaan papan alas tulis dalam rangka kegiatan lapangan SBH 2027;;;1.125.000;;0;;;;0;0;;0;;;0,00 %;;1.125.000;;;;
;;;;;;;;;;;;;000152. Perlengkapan Pelatihan petugas updating dan pencacahan SBH 2027 di kabupaten/kota;;;4.050.000;;0;;;;0;0;;0;;;0,00 %;;4.050.000;;;;
;;;;;;;;;;;;;000153. Biaya Paket Data pelatihan petugas Survei Biaya Hidup;;;3.250.000;;0;;;;0;0;;0;;;0,00 %;;3.250.000;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;5.994.000;;0;;;;0;0;;0;;;0,00 %;;5.994.000;;;;
;;;;;;;;;;;;;000154. Honor Pengajar Pelatihan petugas updating dan pencacahan SBH 2027 di kabupaten/kota;;;5.994.000;;0;;;;0;0;;0;;;0,00 %;;5.994.000;;;;
;;;;;;;521811;;;;;Belanja Barang Persediaan Barang Konsumsi;;;;107.498.000;;0;;;;0;0;;0;;;0,00 %;;107.498.000;;;;
;;;;;;;;;;;;;000155. Pengadaan ATK di kabupaten/kota;;;250.000;;0;;;;0;0;;0;;;0,00 %;;250.000;;;;
;;;;;;;;;;;;;000156. Pencetakan kuesioner VBH27-BLp kabupaten/kota;;;3.168.000;;0;;;;0;0;;0;;;0,00 %;;3.168.000;;;;
;;;;;;;;;;;;;000157. Pencetakan kuesioner VBH27-HR kabupaten/kota;;;4.500.000;;0;;;;0;0;;0;;;0,00 %;;4.500.000;;;;
;;;;;;;;;;;;;000158. Pencetakan kuesioner VBH27-HRp kabupaten/kota;;;1.320.000;;0;;;;0;0;;0;;;0,00 %;;1.320.000;;;;
;;;;;;;;;;;;;000159. Pencetakan kuesioner VBH27-LK kabupaten/kota;;;11.250.000;;0;;;;0;0;;0;;;0,00 %;;11.250.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;000160. Pencetakan kuesioner VBH27-S kabupaten/kota;;;18.750.000;;0;;;;0;0;;0;;;0,00 %;;18.750.000;;;;
;;;;;;;;;;;;;000161. Pencetakan kuesioner VBH27-KK kabupaten/kota;;;142.000;;0;;;;0;0;;0;;;0,00 %;;142.000;;;;
;;;;;;;;;;;;;000162. Pengadaan alat tulis dalam rangka kegiatan lapangan SBH 2027;;;750.000;;0;;;;0;0;;0;;;0,00 %;;750.000;;;;
;;;;;;;;;;;;;000163. Pengadaan alat tulis untuk responden SBH 2027;;;5.000.000;;0;;;;0;0;;0;;;0,00 %;;5.000.000;;;;
;;;;;;;;;;;;;000164. Pengadaan komputer supplies di kabupaten/kota;;;200.000;;0;;;;0;0;;0;;;0,00 %;;200.000;;;;
;;;;;;;;;;;;;000165. Pengadaan computer supplies pre-printed daftar DSRTU dan DSRTP;;;1.000.000;;0;;;;0;0;;0;;;0,00 %;;1.000.000;;;;
;;;;;;;;;;;;;000166. Pencetakan buku pedoman 2 kabupaten/kota;;;7.534.000;;0;;;;0;0;;0;;;0,00 %;;7.534.000;;;;
;;;;;;;;;;;;;000167. Pencetakan buku pedoman 3 kabupaten/kota;;;5.796.000;;0;;;;0;0;;0;;;0,00 %;;5.796.000;;;;
;;;;;;;;;;;;;000168. Pencetakan buku pedoman 4 kabupaten/kota;;;17.388.000;;0;;;;0;0;;0;;;0,00 %;;17.388.000;;;;
;;;;;;;;;;;;;000169. Pencetakan buku pedoman 5 kabupaten/kota;;;17.388.000;;0;;;;0;0;;0;;;0,00 %;;17.388.000;;;;
;;;;;;;;;;;;;000170. Pencetakan buku pedoman 6A kabupaten/kota;;;642.000;;0;;;;0;0;;0;;;0,00 %;;642.000;;;;
;;;;;;;;;;;;;000171. Pencetakan kuesioner VBH27-BL kabupaten/kota;;;12.420.000;;0;;;;0;0;;0;;;0,00 %;;12.420.000;;;;
;;;;;;;524114;;;;;Belanja Perjalanan Dinas Paket Meeting Dalam Kota;;;;45.195.000;;0;;;;0;0;;0;;;0,00 %;;45.195.000;;;;
;;;;;;;;;;;;;000172. Paket Meeting Pelatihan petugas updating dan pencacahan SBH 2027 di kabupaten/kota;;;32.400.000;;0;;;;0;0;;0;;;0,00 %;;32.400.000;;;;
;;;;;;;;;;;;;000173. Perjalanan Pelatihan petugas updating dan pencacahan SBH 2027 di kabupaten/kota;;;12.795.000;;0;;;;0;0;;0;;;0,00 %;;12.795.000;;;;
;;;;052;;;;;Pengumpulan Data;;;;;;;4.575.000;;0;;;;0;0;;0;;;0,00 %;;4.575.000;;;;
;;;;;052.0A;;;;;;TANPA SUB KOMPONEN;;;;;4.575.000;;0;;;;0;0;;0;;;0,00 %;;4.575.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;4.575.000;;0;;;;0;0;;0;;;0,00 %;;4.575.000;;;;
;;;;;;;;;;;;;000174. Pengawasan dari kabkota ke kecamatan Survei Biaya Hidup;;;325.000;;0;;;;0;0;;0;;;0,00 %;;325.000;;;;
;;;;;;;;;;;;;000175. Transport Penunjuk Jalan;;;4.250.000;;0;;;;0;0;;0;;;0,00 %;;4.250.000;;;;
;;;;053;;;;;Pengolahan dan Analisis;;;;;;;6.503.000;;0;;;;0;0;;0;;;0,00 %;;6.503.000;;;;
;;;;;053.0A;;;;;;TANPA SUB KOMPONEN;;;;;6.503.000;;0;;;;0;0;;0;;;0,00 %;;6.503.000;;;;
;;;;;;;521211;;;;;Belanja Bahan;;;;2.614.000;;0;;;;0;0;;0;;;0,00 %;;2.614.000;;;;
;;;;;;;;;;;;;000176. Perlengkapan Pelatihan petugas pengolahan SBH 2027 di kabupaten/kota;;;850.000;;0;;;;0;0;;0;;;0,00 %;;850.000;;;;
;;;;;;;;;;;;;000177. Konsumsi Pelatihan petugas pengolahan SBH 2027 ;;;1.764.000;;0;;;;0;0;;0;;;0,00 %;;1.764.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;di kabupaten/kota;;;1.764.000;;0;;;;0;0;;;;;;;1.764.000;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;999.000;;0;;;;0;0;;0;;;0,00 %;;999.000;;;;
;;;;;;;;;;;;;000178. Honor Pengajar Pelatihan petugas pengolahan SBH 2027 di kabupaten/kota;;;999.000;;0;;;;0;0;;0;;;0,00 %;;999.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;2.890.000;;0;;;;0;0;;0;;;0,00 %;;2.890.000;;;;
;;;;;;;;;;;;;000179. Transport Pelatihan petugas pengolahan SBH 2027 di kabupaten/kota;;;2.890.000;;0;;;;0;0;;0;;;0,00 %;;2.890.000;;;;
;;BMA.009;;;;;;;;PUBLIKASI/LAPORAN STATISTIK HARGA;;;;;;135.356.000;;0;;;;0;8.321.000;;8.321.000;;;6,15 %;;127.035.000;;;;
;;;;005;;;;;Dukungan Penyelenggaraan Tugas dan Fungsi Unit;;;;;;;119.908.000;;0;;;;0;6.080.000;;6.080.000;;;5,07 %;;113.828.000;;;;
;;;;;005.0A;;;;;;TANPA SUB KOMPONEN;;;;;119.908.000;;0;;;;0;6.080.000;;6.080.000;;;5,07 %;;113.828.000;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;110.218.000;;0;;;;0;6.080.000;;6.080.000;;;5,52 %;;104.138.000;;;;
;;;;;;;;;;;;;000099. Honor petugas pendataan lapangan Survei Harga Kemahalan Konstruksi;;;8.892.000;;0;;;;0;2.223.000;;2.223.000;;;25,00 %;;6.669.000;;;;
;;;;;;;;;;;;;000100. Honor petugas pengolahan Survei Harga Produsen Perdesaan (HD);;;2.772.000;;0;;;;0;0;;0;;;0,00 %;;2.772.000;;;;
;;;;;;;;;;;;;000101. Honor petugas pengolahan Survei Harga Kemahalan Konstruksi;;;1.872.000;;0;;;;0;468.000;;468.000;;;25,00 %;;1.404.000;;;;
;;;;;;;;;;;;;000102. Honor petugas pengolahan Survei Harga Konsumen Perdesaan (HKD);;;1.872.000;;0;;;;0;0;;0;;;0,00 %;;1.872.000;;;;
;;;;;;;;;;;;;000103. Honor petugas pengolahan Survei Harga Perdagangan Besar;;;1.440.000;;0;;;;0;120.000;;120.000;;;8,33 %;;1.320.000;;;;
;;;;;;;;;;;;;000104. Honor petugas pengolahan Survei Harga Perdagangan Besar Mingguan;;;1.680.000;;0;;;;0;140.000;;140.000;;;8,33 %;;1.540.000;;;;
;;;;;;;;;;;;;000105. Honor petugas pengolahan Survei Harga Produsen Identifikasi Komoditas Utama;;;910.000;;0;;;;0;0;;0;;;0,00 %;;910.000;;;;
;;;;;;;;;;;;;000106. Honor petugas pengolahan Survei Harga Produsen Sektor Industri Pengolahan dan Sektor Pertambangan dan Penggalian (HP);;;6.480.000;;0;;;;0;0;;0;;;0,00 %;;6.480.000;;;;
;;;;;;;;;;;;;000107. Honor petugas pengolahan Survei Harga Produsen Sektor Jasa Gas (HPJ);;;1.680.000;;0;;;;0;0;;0;;;0,00 %;;1.680.000;;;;
;;;;;;;;;;;;;000108. Honor petugas pengolahan Survei Harga Produsen Sektor Pertanian (HPT);;;264.000;;0;;;;0;0;;0;;;0,00 %;;264.000;;;;
;;;;;;;;;;;;;000109. Honor petugas pendataan lapangan Survei Harga Konsumen Perdesaan (HKD);;;9.216.000;;0;;;;0;768.000;;768.000;;;8,33 %;;8.448.000;;;;
;;;;;;;;;;;;;000110. Honor petugas pendataan lapangan Survei Harga Perdagangan Besar;;;6.912.000;;0;;;;0;576.000;;576.000;;;8,33 %;;6.336.000;;;;
;;;;;;;;;;;;;000111. Honor petugas pendataan lapangan Survei Harga Perdagangan Besar Mingguan;;;8.064.000;;0;;;;0;672.000;;672.000;;;8,33 %;;7.392.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;000112. Honor petugas pendataan lapangan Survei Harga Produsen Identifikasi Komoditas Utama;;;4.368.000;;0;;;;0;0;;0;;;0,00 %;;4.368.000;;;;
;;;;;;;;;;;;;000113. Honor petugas pendataan lapangan Survei Harga Produsen Perdesaan (HD);;;13.356.000;;0;;;;0;1.113.000;;1.113.000;;;8,33 %;;12.243.000;;;;
;;;;;;;;;;;;;000114. Honor petugas pendataan lapangan Survei Harga Produsen Sektor Industri Pengolahan, Pertambangan, dan Penggalian (HP);;;31.104.000;;0;;;;0;0;;0;;;0,00 %;;31.104.000;;;;
;;;;;;;;;;;;;000115. Honor petugas pendataan lapangan Survei Harga Produsen Sektor Jasa (HPJ);;;8.064.000;;0;;;;0;0;;0;;;0,00 %;;8.064.000;;;;
;;;;;;;;;;;;;000116. Honor petugas pendataan lapangan Survei Harga Produsen Sektor Pertanian (HPT);;;1.272.000;;0;;;;0;0;;0;;;0,00 %;;1.272.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;9.690.000;;0;;;;0;0;;0;;;0,00 %;;9.690.000;;;;
